movie_name,Page.Name,Page.Category,Page.Description,Post.Created.Date,Message,URL,Total.Interactions
咒,鏡週刊,MEDIA_NEWS_COMPANY,《鏡週刊》以「鏡」為名，務求反映事實、時代與人性，一直與你並肩，挖掘真相，鏡往開來。,2020-07-12,俊雄也是很重要啊！ #咒怨 ★ 全新改版好聞不漏接 鏡傳媒 iOS → goo.gl/bWvmsn:=:https://itunes.apple.com/tw/app/%E9%8F%A1%E5%82%B3%E5%AA%92/id1186614515?mt=8 ★ 全新改版好聞不漏接 鏡傳媒 Android → goo.gl/2Ctu8A:=:https://play.google.com/store/apps/details?id=com.mirrormedia.news&hl=zh_TW,https://www.facebook.com/1855418728011324/posts/2864313090455211,2
咒,鏡週刊,MEDIA_NEWS_COMPANY,《鏡週刊》以「鏡」為名，務求反映事實、時代與人性，一直與你並肩，挖掘真相，鏡往開來。,2020-07-13,戲裡的老公也變穩交男友啦～ #咒怨 ★ 全新改版好聞不漏接 鏡傳媒 iOS → goo.gl/bWvmsn:=:https://itunes.apple.com/tw/app/%E9%8F%A1%E5%82%B3%E5%AA%92/id1186614515?mt=8 ★ 全新改版好聞不漏接 鏡傳媒 Android → goo.gl/2Ctu8A:=:https://play.google.com/store/apps/details?id=com.mirrormedia.news&hl=zh_TW,https://www.facebook.com/1855418728011324/posts/2864224107130776,2
咒,中時新聞網娛樂,MEDIA_NEWS_COMPANY,"🌟人在江湖走，星聞就要有🌟
想要「台流、韓流、洋流、日流」
還是嗆辣「亂流、八卦流」
《中時新聞網娛樂》這邊通通有！",2023-05-13,音效比畫面魔音傳腦🥶 #驚悚 #咒聲 #網友 #泰國 #邪門,https://www.facebook.com/1122937374406998/posts/6573537002680314,2
咒,中時新聞網娛樂,MEDIA_NEWS_COMPANY,"🌟人在江湖走，星聞就要有🌟
想要「台流、韓流、洋流、日流」
還是嗆辣「亂流、八卦流」
《中時新聞網娛樂》這邊通通有！",2022-07-18,大家都看過了嗎？（小編還不敢看...🥶 (#橙子編) #咒 #柯孟融 #台灣恐怖電影 #Netflix,https://www.facebook.com/1122937374406998/posts/5641856415848382,2
咒,LINE TODAY Taiwan,MEDIA_NEWS_COMPANY,LINE TODAY不僅有全方位新聞資訊、影劇娛樂亮點、運動賽事轉播與精彩自製影音，更集結最實用的LINE熱點吃喝玩樂攻略，及LINE MUSIC最潮LINE鈴聲與答鈴服務。多元內容，一站搞定！,2022-03-01,有人跟小編一樣趁著連假去看 #咒術迴戰0 了嗎～ 看完總覺得養一隻里香也很不錯啊（？）,https://www.facebook.com/347432368933987/posts/1699634343713776,2
咒,LINE TODAY Taiwan,MEDIA_NEWS_COMPANY,LINE TODAY不僅有全方位新聞資訊、影劇娛樂亮點、運動賽事轉播與精彩自製影音，更集結最實用的LINE熱點吃喝玩樂攻略，及LINE MUSIC最潮LINE鈴聲與答鈴服務。多元內容，一站搞定！,2022-01-27,各位猜猜看～念「索命咒 Avada Kedavra」Siri 會做什麼反應呢？😏 #哈利波特 #咒語 #Siri,https://www.facebook.com/347432368933987/posts/1675853262758551,2
咒,上報,MEDIA_NEWS_COMPANY,"【上報就是好新聞】
上報Up Media擁抱社會進步價值，強調多元的報導與豐富?",2022-09-27,【金馬59入圍揭曉】 港片《#智齒 》提名14項成贏家！ #林家棟 、#張孝全 爭影帝、#張艾嘉 拚3度封后 #咒 竟然不是入圍最多的😲 (#編圓能) #上報流行 #金馬獎 #金馬59 #電影,https://www.facebook.com/286603368359862/posts/1901355023551347,2
咒,上報,MEDIA_NEWS_COMPANY,"【上報就是好新聞】
上報Up Media擁抱社會進步價值，強調多元的報導與豐富?",2022-03-16,「這是一部用生命拍出來的電影！」 柯孟融希望大家可以把焦點轉回作品上～ ------ ▶️烏克蘭抗俄相關新聞 👉🏻 https://bit.ly/3KdkVKz:=:https://www.upmedia.mg/news_list.php?Type=231 #上報焦點 #柯孟融 #導演 #大麻 #醜聞 #性侵 #電影 #咒,https://www.facebook.com/286603368359862/posts/1751731175180400,2
咒,上報,MEDIA_NEWS_COMPANY,"【上報就是好新聞】
上報Up Media擁抱社會進步價值，強調多元的報導與豐富?",2022-03-11,電影3/18上映！真相未明，先支持台灣電影～ #上報流行 #咒 #柯孟融 #得哥 #宋燕旻 #許振得 #電影 #導演 #incantation #空殼影像工作室,https://www.facebook.com/286603368359862/posts/1748738268813024,2
咒,Rti 中央廣播電臺,BROADCASTING_MEDIA_PRODUCTION,"中央廣播電臺 (央廣)
 Radio Taiwan International (RTI)",2022-10-26,【文化部長：國片2年內市佔率達16％】 #文化部 部長 #李永得 今天在「#台灣電影起飛大聯盟」聯合宣傳造勢場合上表示，文化部已陸續提出相關協助籌資政策，加上國內電影人才豐富、拍片類型豐富，希望讓 #國片 在2年內市場票房市佔少達到16%低標，高標則是20%，雖有挑戰，但他相信一定能達到。文化部四月提出「我們的電影－#瘋台片」行銷計畫，舉辦「#青春限定場」及「#學生優惠場」，帶動國片觀影熱炒，其中又以恐怖片《#咒》獲益最大，飆出新台幣1.7億票房。 📌加入Juiker，即時掌握央廣新聞📌 https://jkgo.in/gt/j/bGiJAm 📌歡迎加入央廣Rti官方ＴＧ帳號，每日新聞不漏接📌 https://t.me/RadioTaiwan 📌Google新聞也可追蹤央廣Rti📌 https://reurl.cc/LdGL5L,https://www.facebook.com/202081139808158/posts/6318470621502482,2
咒,Rti 中央廣播電臺,BROADCASTING_MEDIA_PRODUCTION,"中央廣播電臺 (央廣)
 Radio Taiwan International (RTI)",2022-04-01,【台灣鬼片新標竿 《咒》嚇出破億票房】 電影《#咒》自3月18日上映以來，預計今天全台破億，成為今年首部 #破億國片。#導演 #柯孟融 1日率領劇組成員在愚人節這天，親自將片中唯一的一尊「#大黑佛母」本尊迎接出來，還特別提醒有關佛母的禁忌：不要想自己的名、不要問自己的名、不要看佛母的臉，「避免意外發生」！ 📌加入Juiker，即時掌握央廣新聞📌 https://jkgo.in/gt/j/bGiJAm 📌歡迎加入央廣Rti官方ＴＧ帳號，每日新聞不漏接📌 https://t.me/RadioTaiwan 📌Google新聞也可追蹤央廣Rti📌 https://reurl.cc/LdGL5L,https://www.facebook.com/202081139808158/posts/5705018366181047,2
咒,達人秀新聞,MEDIA_NEWS_COMPANY,"達人秀新聞給你 最多最快的【網紅新聞】和【娛樂新聞】，以及網友最關注的爆紅話題！ 

https://www.ttshow.tw",2021-03-26,天啊 坐等官宣 #到哪編 　 🔥抄襲泰勒絲？網揪ROSÉ新歌「一對比」打臉酸民：完全不同 👉https://reurl.cc/Q72Qdb 　 #達人秀新聞 #電影版 #咒術迴戰 #細節 #爆雷 #呪術廻戦,https://www.facebook.com/1451168738483395/posts/2845756659024589,2
咒,電影教我們的五件事,MOVIE,"2位大學生的電影片單，想與你們分享。

青春、友情、愛情、成長、夢想，我們的友情跟著電影，一步一步的長大。
　　
[合作／工作聯繫，請來訊粉絲團]
　　
Instagram : 5things_from",2022-04-22,#咒、#薩滿 後東南亞邪靈信仰與詛咒震撼大銀幕！ 📍愛看電影的你，快快加入我們的社團 https://www.facebook.com/groups/824710464401034,https://www.facebook.com/1611440082431326/posts/3098053677103285,2
咒,ENews 上班甘苦談,MEDIA_NEWS_COMPANY,從今天起通勤一點也不無聊！因為這裡有你想知道的，還有你可以分享的。?,2017-05-10,嗚嗚厲陰宅的修女給吉編的陰影超大 #咒怨裡的小男孩長大了 #貞子根本超正,https://www.facebook.com/249207761849457/posts/943586432411583,2
咒,痞客邦 電影圈,ENTERTAINMENT_SITE,嗨～「痞客邦電影圈」是PIXNET旗下「痞客邦」的服務之一，歡迎大家來關注,2022-09-28,今年金馬獎的提名公布了！好多優秀的香港電影獲得肯定😍 2022的話題國片《#咒》也風光提名13項！,https://www.facebook.com/100064103585154/posts/463439255802857,2
咒,娛樂新聞大蒐集,ACTIVITY_GENERAL,娛樂新聞大蒐集,2017-05-10,嗚嗚厲陰宅的修女給吉編超大的陰影 #咒怨裡的小男孩長大了 #貞子根本超正,https://www.facebook.com/453365521429695/posts/1060441864055388,2
咒,冒牌生 inmywordz,MOVIE_WRITER,"喜歡寫作、旅行，出了9本書
分享生活隨筆和成長點滴，希望能找到同好
我的IG：www.instagram.com/inmywordz
歡迎追蹤🔝🔝",2022-03-04,竟然數得出來😂😂😂 #哈利波特 #咒語 #誰真的去數拉,https://www.facebook.com/100044489917112/posts/510426340450359,2
咒,超人氣粉絲團聯盟,ORG_GENERAL,Organization,2022-07-09,｜ #達人秀x台北電影節 ｜ 恭喜高英軒～ (L編) #高英軒 #最佳男配角 #咒 #台北電影節 #達人秀新聞,https://www.facebook.com/135763253156951/posts/5296719010394657,2
咒,觸mii,MEDIA_NEWS_COMPANY,觸mii發音為「觸咪」同台語「趣味」。以豐富時事、生活動態，包含娛樂、奇趣、食旅、潮流、正妹，來填補你瑣碎閒暇時間。解決你人生路上各種疑難雜症~滋養心中那片荒廢已久的小園地。,2022-03-28,大家都有去看了嗎！🤩 (#朋朋編) #電影 #觀眾 #全台票房 #咒,https://www.facebook.com/329118253934643/posts/2059175200928931,2
咒,民視娛樂,TV_NETWORK,"民視官方影視訊息皆在『民視娛樂』
IG帳號也開通囉 「民視娛樂」https://www.instagram.com/ftvdiary",2022-07-13,#咒 帶來的旋風，其中「火佛修一 心薩嘸哞」這句咒語及佛母手勢，因沒有語言隔閡，在網路上造成流行,https://www.facebook.com/124532647585769/posts/5409851112387203,2
咒,NOWnews 今日新聞,MEDIA_NEWS_COMPANY,"下載【今日新聞APP】跟你一起追news到底！
IOS版：https://apple.co/3hfSyyv
Android版：https://bit.ly/3jjDe6x",2022-07-13,難道台南的殭屍趕場北上也要告訴你嗎？🤣 九份金礦博物館真的沒有大金塊只有老礦工的真心 - 下載【今日新聞APP】跟你一起追到底！ IOS👉https://reurl.cc/kLoOGd Android👉https://reurl.cc/Q6aR0q #殭屍 #展覽 #九份 #金礦博物館 #咒 #昇平戲院,https://www.facebook.com/102884532662/posts/10159479499242663,2
咒,美麗佳人 Marie Claire Taiwan,MEDIA_NEWS_COMPANY,"Marie Claire 美麗佳人創立於1937，全球唯一能夠連結女性議題與人文品味的流行時尚媒體。Think Smart, Look Amazing.
www.marieclaire.com.tw",2022-03-12,【#mc看電影】請問各位咒術迷：你幾刷了？？ #咒術迴戰 #劇場版咒術迴戰0 #jsl,https://www.facebook.com/161789327743/posts/10159806740352744,2
咒,卡卡洛普★宅宅新聞,NEWS_SITE,"這裡是卡卡洛普總舵！
宅宅新聞～在這>>https://www.facebook.com/kakalopo.news
宅宅新聞2 IOS App >https://goo.gl/p6t8cr
宅宅新聞 ",2022-11-02,你的目標是誰呢？#咒術迴戰0 #一番賞 想要 #夏油傑 就只能包賞了！ #乙骨憂太 #五條悟 ​ 🎉YouTube推薦《宅啦！》我們回來啦 💟https://bit.ly/2Fqpfdx:=:https://www.youtube.com/playlist?list=PL6F8bmAZB3c-TDutFUVdTX3L_kT_T3cMX,https://www.facebook.com/295855559809/posts/10160564671514810,2
咒,Yahoo 娛樂圈,WEBSITE,"Yahoo 娛樂圈，網上娛樂指標！
喺呢度，圈實最新娛樂圈中事！ http://hk.celebrity.yahoo.com/
.
MeWe: [Yahoo娛樂圈]
https://mewe.com/p",2022-07-21,【Netflix熱播】被譽為台灣史上最恐怖電影嘅《咒》你有冇睇呢？你覺得恐唔恐怖呢？ 👉🏻即睇內文：https://bit.ly/3yVTUY2:=:https://hk.news.yahoo.com/netflix-%E5%92%92-%E5%8F%B0%E7%81%A3-%E6%81%90%E6%80%96-%E9%9B%BB%E5%BD%B1-%E7%A5%9E%E4%BD%9C-%E5%AF%A6%E9%A9%97-%E5%BD%B1%E8%A9%95-085848144.html ▶︎ 立即追蹤Yahoo娛樂圈IG，掌握最新娛樂八卦：https://bit.ly/3kjqnjD:=:https://www.instagram.com/yahooentertainment.hk/?hl=zh-hk 【影迷注意】Yahoo電影專欄現正上架！緊貼最新電影動向，安排周末睇戲娛樂！https://bit.ly/3wlSVNK:=:https://hk.news.yahoo.com/movies #咒 #Netflix,https://www.facebook.com/343065819122227/posts/5177812962314131,2
咒,娛樂星聞,MEDIA_NEWS_COMPANY,《三立娛樂星聞》,2022-12-30,#歐膩：#柯孟融 罪證不足處分不起訴，該女未提再議，全案確定! 　 #咒 #宋燕旻,https://www.facebook.com/1490621264490659/posts/3562154890670609,2
咒,娛樂星聞,MEDIA_NEWS_COMPANY,《三立娛樂星聞》,2022-09-18,#歐膩：一起再次成為純愛戰士~~ 🥰🥰🥰 　 #咒術迴戰 #乙骨憂太,https://www.facebook.com/1490621264490659/posts/3467738820112217,2
咒,娛樂星聞,MEDIA_NEWS_COMPANY,《三立娛樂星聞》,2022-02-24,#小C同學：純愛戰士😍 開始期待動畫第二季!!! 五條老師與夏油傑的愛恨糾葛~ #咒術迴戰 #咒術迴戰0,https://www.facebook.com/1490621264490659/posts/3311607099058724,2
咒,娛樂星聞,MEDIA_NEWS_COMPANY,《三立娛樂星聞》,2022-01-07,#野ㄚ頭：也太人期待劇情了吧!!!!! #咒術迴戰0 #動畫電影 #日本,https://www.facebook.com/1490621264490659/posts/3275849669301134,2
咒,娛樂蘋果派,ENTERTAINMENT_SITE,"蘋果新聞網：https://www.appledaily.com.tw
24小時陪你看新聞，這裡有娛樂八卦，還有全台獨家的狗仔出任務花絮、攝影嚴選明星漏網影片，及一群瘋狂的小編...",2022-03-19,電影《#咒》成「媽媽給女兒的遺書」首日狂吸600萬　 觀眾看完全嚇儍 https://bit.ly/3N2qYns:=:https://tw.appledaily.com/entertainment/20220319/45OJSVP73VGLXDUR5D3L3GSOF4/,https://www.facebook.com/202498459813808/posts/5200921436638127,2
咒,台灣達人秀,MEDIA_NEWS_COMPANY,最多『網路娛樂新聞』所有最火熱的網紅話題都在這！https://www.ttshow.tw,2022-09-28,金馬入圍名單出爐🔥 恭喜周興哲跨界當演員獲得肯定！！（小V編） #金馬獎 #入圍 #金馬59 #周興哲 #咒,https://www.facebook.com/251305151547796/posts/6437464832931766,2
咒,Yahoo!奇摩名人娛樂,PERSON,管他什麼咖，娛樂一把抓！YAHOO奇摩名人娛樂 https://tw.tv.yahoo.com/e-news/,2022-11-25,在家裡放一尊 你膽子夠大嗎？ #咒,https://www.facebook.com/214646568602122/posts/5696482723751785,2
咒,Yahoo!奇摩名人娛樂,PERSON,管他什麼咖，娛樂一把抓！YAHOO奇摩名人娛樂 https://tw.tv.yahoo.com/e-news/,2022-03-16,這首映會應該是小編見過最恐怖的...😱 #咒 #首映會 #恐怖片 #邪教儀式 #朱延平 #KID #盧廣仲 #錢薇娟 #江宏傑,https://www.facebook.com/214646568602122/posts/4966739343392797,2
咒,TVBS娛樂頭條,MEDIA_NEWS_COMPANY,TVBS聯利媒體股份有限公司旗下娛樂品牌，按下追蹤訂閱，給你滿出來的八卦和娛樂大小事！您的意見是我們前進的動力，歡迎來信或來電反映，意見反映：service@tvbs.com.tw，服務專線：02-26,2022-04-11,《咒》使用大量互動橋段，讓觀眾身歷其境，導演也親揭片中祕密 #咒 #柯孟融,https://www.facebook.com/419217714880192/posts/2400726213395989,2
咒,TVBS娛樂頭條,MEDIA_NEWS_COMPANY,TVBS聯利媒體股份有限公司旗下娛樂品牌，按下追蹤訂閱，給你滿出來的八卦和娛樂大小事！您的意見是我們前進的動力，歡迎來信或來電反映，意見反映：service@tvbs.com.tw，服務專線：02-26,2022-03-16,準備好進戲院被嚇破膽了嗎？ #咒 #柯孟融,https://www.facebook.com/419217714880192/posts/2378931798908764,2
咒,喜能復 抗菌瑕疵淡化研究所,HEALTH_BEAUTY,"喜能復青春抗菌祛印凝膠Hiruscar® POST ACNE
專為青春期油性肌膚研發，獨家的3-in-1抗菌祛印方程式 ( 3-in-1 SCAR CLEAR Formulation )
1.	修整撫平：洋蔥萃取全效精華，能調節膠原蛋白作用，撫平凹凸瑕疵，修整肌膚，減輕出油狀況。

2.	擊退印記：維他命B3，淡化色素暗沉，還原肌膚青春淨白。

3.	預防再生：Pionin皮奧寧，高效抗菌，預防瑕疵印記再生、惡化，維持自信無印美肌。

＊	【全台唯一，獨家配方】唯一針對油性肌膚問題癒合後的瑕疵印記的專業祛印對策。
＊	【實驗證實，修復效果】來自瑞士Medinora藥廠，經法國皮膚實驗室Dermscan Asia認證，有效修復油性肌膚瑕疵印記。
＊	【連續使用四週，100％祛印有感】連續使用四週，100%感受修復，淡化暗沉瑕疵，超過七成使用者油性肌膚問題獲得改善。
＊	【溫和零酒精，肌膚零刺激】實驗證實不會阻塞毛孔，不會造成粉刺或痤瘡，不會引起刺激不適，適合油性瑕疵肌膚和敏弱瑕疵肌膚使用。
＊	【上妝前，保養後，都適用】可與日常化妝品及護膚品同時使用，有效阻擋印記惡化。

網址：https://goo.gl/ErHrzt",2022-04-08,#抗瑕日常 你們相信祝福嗎？ 現在請跟著我唸：「暗瑕有救！」並使用 #無瑕膠 懂你困擾的佛母，將保你青春美肌✨ #看完電影晚上不敢自己一個人睡 #大學生 #大學生活 #電影 #國片 #咒 #喜能復 #喜能復青春抗菌祛印凝膠,https://www.facebook.com/1635415743153893/posts/5675171215844972,1
咒,TVBS 國際+,NEWS_SITE,News & media website,2023-04-01,「咒」的後勁真的太強RR #咒 https://news.tvbs.com.tw/world/2085507?from=tvbsplus:=:https://news.tvbs.com.tw/world/2085507 -- 👉歡迎下載TVBS國際+ APP https://bit.ly/3CYS7TI:=:https://graphics.tvbs.com.tw/redirect/tvbsplus/tvbsplus_tvbsplusFB.html,https://www.facebook.com/107589228521794/posts/250301540917228,1
咒,我們是中和人,none,"",2022-03-31,📢號外號外！ 【《#少年吔》導演明星現身 📍中和環球威秀影城】 4/1明天晚上！#顏正國 導演和 #李千那 #黃尚禾 等主演要現身映後QA啦🔥 看完電影不用找人討論，直接問導演演員就可以 明天晚上 19：05 我們中和環球威秀影城不見不散！ 👉手刀購票：[https://bit.ly/3tUIMth](https://bit.ly/3tUIMth) - 🎬映後QA資訊🎬 時間：04/01(五) 19：05 9廳 地點：中和環球威秀影城 出席影人：導演顏正國、演員黃尚禾、李千那、張寗 (影人出席狀況以現場為主) 💥連假強檔推薦💥 《#音速小子2》兒童節歡樂首選🎉現場加碼抽抽樂！ 《#魔比斯》購票就送獨家限定收藏海報 《#咒》挑戰台灣最恐怖電影😱購票送限量電影貼紙,https://www.facebook.com/groups/867060446709455/permalink/4954614147954044,1
咒,我們是中和人,none,"",2022-03-18,📍中和環球威秀影城 【壞蛋聯盟】超Q電影限量周邊 #抽抽樂❤️ 「電影主題拼圖、背包、平板保護套」等豐富好禮 只要購買2張電影票+販賣部任一發票！就有機會現場抽中帶回家🎁 3/18(五)~3/24(四)數量有限，抽完為止！ - 👉手刀購票：[https://bit.ly/3IyGqV3](https://bit.ly/3IyGqV3) 🔥本周強檔推薦🔥 《#壞蛋聯盟》闔家歡樂首選！中、英文版同步登場 《#咒》3/19 (六) 20:30-21:00影人現身拍照！ 《#蝙蝠俠》雙週票房冠軍！這就是我們要的蝙蝠俠 《#劇場版咒術迴戰0》購票送五條悟等限量劇照透卡,https://www.facebook.com/groups/867060446709455/permalink/4920829374665855,1
